"filename", "language", "Dart", "comment", "blank", "total"
"e:\flutter projects\eventsmanager\lib\features\notifications\presentation\view\widgets\notificaton_list.dart", "Dart", 44, 0, 6, 50
"e:\flutter projects\eventsmanager\lib\features\notifications\presentation\view\widgets\swipe_notification.dart", "Dart", 57, 3, 3, 63
"e:\flutter projects\eventsmanager\lib\features\onboarding\data\model\on_boarding_info.dart", "Dart", 24, 0, 2, 26
"e:\flutter projects\eventsmanager\lib\features\onboarding\data\model\on_boarding_model.dart", "Dart", 10, 0, 1, 11
"e:\flutter projects\eventsmanager\lib\features\onboarding\presentation\manager\onBoardingController\on_boarding_binding.dart", "Dart", 8, 0, 2, 10
"e:\flutter projects\eventsmanager\lib\features\onboarding\presentation\manager\onBoardingController\on_boarding_controller.dart", "Dart", 34, 0, 5, 39
"e:\flutter projects\eventsmanager\lib\features\onboarding\presentation\view\onboarding_view.dart", "Dart", 43, 0, 3, 46
"e:\flutter projects\eventsmanager\lib\features\onboarding\presentation\view\widgets\custom_slider.dart", "Dart", 63, 3, 10, 76
"e:\flutter projects\eventsmanager\lib\features\onboarding\presentation\view\widgets\dot_controller.dart", "Dart", 39, 0, 3, 42
"e:\flutter projects\eventsmanager\lib\features\profileSettings\data\models\user_model.dart", "Dart", 63, 4, 6, 73
"e:\flutter projects\eventsmanager\lib\features\profileSettings\data\repo\profile_repo.dart", "Dart", 71, 5, 14, 90
"e:\flutter projects\eventsmanager\lib\features\profileSettings\presentation\manager\profile_settings_controller.dart", "Dart", 134, 6, 22, 162
"e:\flutter projects\eventsmanager\lib\features\profileSettings\presentation\view\edit_profile_view.dart", "Dart", 149, 1, 5, 155
"e:\flutter projects\eventsmanager\lib\features\profileSettings\presentation\view\profile_settings_view.dart", "Dart", 119, 3, 9, 131
"e:\flutter projects\eventsmanager\lib\features\profileSettings\presentation\view\widgets\profile_image.dart", "Dart", 54, 0, 3, 57
"e:\flutter projects\eventsmanager\lib\features\profileSettings\presentation\view\widgets\section.dart", "Dart", 34, 0, 3, 37
"e:\flutter projects\eventsmanager\lib\features\profileSettings\presentation\view\widgets\settings_tile.dart", "Dart", 45, 0, 4, 49
"e:\flutter projects\eventsmanager\lib\firebase_options.dart", "Dart", 70, 12, 7, 89
"e:\flutter projects\eventsmanager\lib\main.dart", "Dart", 44, 10, 8, 62
"e:\flutter projects\eventsmanager\lib\shared\circle_icon.dart", "Dart", 22, 0, 2, 24
"e:\flutter projects\eventsmanager\lib\shared\custom_button.dart", "Dart", 57, 0, 3, 60
"e:\flutter projects\eventsmanager\lib\shared\custom_text.dart", "Dart", 26, 0, 4, 30
"e:\flutter projects\eventsmanager\lib\shared\custome_text_form_field.dart", "Dart", 118, 10, 4, 132
"e:\flutter projects\eventsmanager\lib\shared\expanded_text.dart", "Dart", 56, 0, 10, 66
"e:\flutter projects\eventsmanager\lib\shared\hide_naviagtion_bar.dart", "Dart", 20, 0, 3, 23
"e:\flutter projects\eventsmanager\lib\size_debugger.dart", "Dart", 23, 0, 4, 27
"e:\flutter projects\eventsmanager\lib\test_messages.dart", "Dart", 0, 36, 7, 43
"e:\flutter projects\eventsmanager\lib\test_mobile_scanner.dart", "Dart", 195, 7, 32, 234
"Total", "-", 11542, 708, 1552, 13802
